node idx,drug id,pubchem_cid,smiles
234,DB00295,5288826.0,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O
235,DB00296,175805.0,CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
236,DB00297,2474.0,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
237,DB00298,3033538.0,CC1=CC=CC=C1N2CCN(CC2)CCC3=NN=C4N3CCCC4
238,DB00299,135398748.0,C1=NC2=C(N1CCC(CO)CO)N=C(NC2=O)N
239,DB00300,5481350.0,CC(C)OC(=O)OCOP(=O)(COC(C)CN1C=NC2=C(N=CN=C21)N)OCOC(=O)OC(C)C
240,DB00301,21319.0,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O
241,DB00302,,
242,DB00303,150610.0,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)NC4=CC=CC(=C4)C(=O)O)C(=O)O)C(C)O
243,DB00304,40973.0,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CCCCC34
244,DB00305,5746.0,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N
245,DB00306,8275.0,CCC(C)C1(C(=O)NC(=O)NC1=O)CC=C
246,DB00307,82146.0,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C
247,DB00308,60753.0,CCCCCCCN(CC)CCCC(C1=CC=C(C=C1)NS(=O)(=O)C)O
248,DB00309,11643449.0,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)N)O)O)CC)OC)C(=O)OC)O
249,DB00310,2732.0,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
250,DB00311,3295.0,CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N
251,DB00312,4737.0,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC
252,DB00313,3121.0,CCCC(CCC)C(=O)O
253,DB00314,3000502.0,CC1C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)NC(C(=O)NCC(C(=O)N1)N)C2CCN=C(N2)N)CNC(=O)CC(CCCN)N.C1CN=C(NC1C2C(=O)NCC(C(=O)NC(C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)N2)CNC(=O)CC(CCCN)N)CO)N)N
254,DB00315,60857.0,CN(C)CCC1=CNC2=C1C=C(C=C2)CC3COC(=O)N3
255,DB00316,1983.0,CC(=O)NC1=CC=C(C=C1)O
256,DB00317,123631.0,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
257,DB00318,5284371.0,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O
258,DB00319,43672.0,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O
259,DB00320,10531.0,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C
260,DB00321,2160.0,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
261,DB00322,5790.0,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O
262,DB00323,4659569.0,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-]
263,DB00324,9878.0,CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O
264,DB00325,,
265,DB00326,129628006.0,C(C(C(C(C(C(C(=O)[O-])O)O)O)O)O)O.C(C(C(C(C(C(C(=O)[O-])O)O)O)O)O)O.[Ca+2]
266,DB00327,5284570.0,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4
267,DB00328,3715.0,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
268,DB00330,14052.0,CCC(CO)NCCNC(CC)CO
269,DB00331,155906370.0,CN(C)C(=NC(=N)N)N
270,DB00332,,
271,DB00333,4095.0,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
272,DB00334,135398745.0,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C
273,DB00335,2249.0,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
274,DB00337,6509979.0,CCC1C=C(CC(CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC1=O)O)C)C(=CC4CCC(C(C4)OC)Cl)C)O)C)OC)OC)C)C
275,DB00338,4594.0,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
276,DB00339,1046.0,C1=CN=C(C=N1)C(=O)N
277,DB00340,4167.0,CN1CCCC(C1)CC2C3=CC=CC=C3SC4=CC=CC=C24
278,DB00341,2678.0,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
279,DB00342,5405.0,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O
280,DB00343,39186.0,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC
281,DB00344,4976.0,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13
282,DB00345,2148.0,C1=CC(=CC=C1C(=O)NCC(=O)O)N
283,DB00346,2092.0,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
284,DB00347,5576.0,CC1(C(=O)N(C(=O)O1)C)C
285,DB00349,2789.0,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
286,DB00350,,
287,DB00351,11683.0,CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C
288,DB00352,2723601.0,C1=NC2=C(N1)C(=S)N=C(N2)N
289,DB00353,8226.0,CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
290,DB00354,6729.0,CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
291,DB00355,5742832.0,CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N
292,DB00356,2733.0,C1=CC2=C(C=C1Cl)NC(=O)O2
293,DB00357,2145.0,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
294,DB00358,4046.0,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O
295,DB00359,5215.0,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N
296,DB00360,135398654.0,CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O
